Generation	Average	Best
362	0.7035	0.9587
363	0.7177	0.9685
364	0.7585	0.9536
365	0.7508	0.9672
366	0.7268	0.9616
367	0.735	0.9584
368	0.7244	0.9621
369	0.7037	0.956
370	0.689	0.9431
371	0.7151	0.9491
372	0.7131	0.9447
373	0.7003	0.947
374	0.6847	0.957
375	0.7414	0.9561
376	0.7527	0.9418
377	0.7256	0.9494
378	0.7018	0.9462
379	0.6792	0.9529
380	0.7411	0.9567
381	0.7455	0.9612
382	0.7024	0.96
383	0.7438	0.9567
384	0.7241	0.9579
385	0.7493	0.9631
386	0.7404	0.9649
387	0.7071	0.967
388	0.6842	0.965
389	0.7154	0.964
390	0.6705	0.9561
391	0.693	0.9618
392	0.7258	0.9564
393	0.6577	0.963
394	0.649	0.9558
395	0.7275	0.9627
396	0.6989	0.9595
397	0.7174	0.9503
398	0.7274	0.9577
399	0.6904	0.9519
400	0.6989	0.9474
401	0.6897	0.9507
402	0.6704	0.9411
403	0.6785	0.9404
404	0.7068	0.937
405	0.7086	0.941
406	0.7101	0.952
407	0.662	0.9476
408	0.68	0.9179
409	0.7082	0.9297
410	0.7144	0.9414
411	0.7138	0.9122
412	0.69	0.9383
413	0.7313	0.9366
414	0.67	0.9258
415	0.6834	0.9425
416	0.706	0.952
417	0.7231	0.934
418	0.6963	0.8863
419	0.6908	0.9015
420	0.6919	0.9278
421	0.7007	0.9426
422	0.7291	0.9428
423	0.7179	0.9412
424	0.7221	0.9458
425	0.7561	0.9456
426	0.7356	0.9262
427	0.7623	0.9424
428	0.6979	0.9368
429	0.7282	0.9289
430	0.7196	0.9449
431	0.7179	0.9476
432	0.6979	0.9326
433	0.7267	0.9574
434	0.7711	0.955
435	0.7659	0.956
436	0.7019	0.9549
437	0.7549	0.9577
438	0.7138	0.9582
439	0.7234	0.9606
440	0.7054	0.9446
441	0.7188	0.9564
442	0.7	0.9601
443	0.6743	0.9625
444	0.6927	0.9505
445	0.7462	0.9472
446	0.7028	0.9519
447	0.7011	0.9561
448	0.7657	0.9503
449	0.7387	0.9548
450	0.7139	0.9465
451	0.7251	0.954
452	0.7632	0.947
453	0.7224	0.9506
454	0.7451	0.9461
455	0.6877	0.9433
456	0.7415	0.9394
457	0.7439	0.9573
458	0.698	0.9479
459	0.7222	0.9566
460	0.7555	0.9649
461	0.7299	0.9585
462	0.757	0.9476
463	0.7311	0.9415
464	0.6846	0.946
465	0.7359	0.9612
466	0.7138	0.9375
467	0.7443	0.9466
468	0.7626	0.9465
469	0.7491	0.9386
470	0.7719	0.9564
471	0.7736	0.9447
472	0.7924	0.958
473	0.6783	0.9495
474	0.7568	0.9379
475	0.7799	0.9449
476	0.7614	0.942
477	0.7654	0.9365
478	0.7544	0.9436
479	0.7254	0.9427
480	0.7007	0.95
481	0.6597	0.933
482	0.6933	0.9444
483	0.6684	0.9257
484	0.7045	0.9356
485	0.6939	0.9287
486	0.6827	0.952
487	0.7361	0.9525
488	0.6991	0.9287
489	0.637	0.9578
490	0.6547	0.9579
491	0.6959	0.9386
492	0.6804	0.929
493	0.6313	0.9269
494	0.6505	0.9655
495	0.6578	0.9431
496	0.6937	0.9432
497	0.7057	0.9404
498	0.7136	0.9446
499	0.726	0.9555
500	0.718	0.9428
501	0.6926	0.9171
502	0.6785	0.9153
503	0.6775	0.9304
504	0.6807	0.9342
505	0.6522	0.9363
506	0.6432	0.9397
507	0.7082	0.9345
508	0.6693	0.9258
509	0.6844	0.9271
510	0.6983	0.9488
511	0.7062	0.9534
512	0.6919	0.9544
513	0.6564	0.9489
514	0.6617	0.9533
515	0.6841	0.9419
516	0.6805	0.9491
517	0.6959	0.9405
518	0.681	0.9255
519	0.6685	0.9342
520	0.6866	0.9217
521	0.7041	0.936
522	0.715	0.9377
523	0.6928	0.9337
524	0.675	0.9382
525	0.6613	0.9385
526	0.6629	0.9464
527	0.6486	0.9299
528	0.6513	0.9246
529	0.6543	0.9315
530	0.6848	0.9332
531	0.7227	0.9452
532	0.6879	0.9262
533	0.6547	0.9231
534	0.6606	0.9499
535	0.6958	0.9275
536	0.7239	0.9567
537	0.658	0.9593
538	0.6609	0.9568
539	0.6276	0.9431
540	0.6895	0.9622
541	0.6988	0.9511
542	0.7207	0.9517
543	0.7326	0.9559
544	0.6791	0.9422
545	0.712	0.9655
546	0.6774	0.958
547	0.7093	0.9569
548	0.7092	0.9623
549	0.6583	0.9566
550	0.6915	0.9688
551	0.6674	0.9656
552	0.7226	0.9693
553	0.657	0.9542
554	0.5957	0.9648
555	0.6528	0.9554
556	0.714	0.9581
557	0.7534	0.9599
558	0.7119	0.9694
559	0.7003	0.9673
560	0.7112	0.9585
561	0.7425	0.9592
562	0.7377	0.9623
563	0.7159	0.9636
564	0.7138	0.9575
